x,y,z,rotation_x,rotation_y,rotation_z,rotation_w
-106.64959,17.073978,1.615148,0.0,0.0,0.7031326323100259,0.7110587186588558
-106.652328,17.072407,1.613476,0.0010083945570850683,0.00015286368199310141,0.7031331335937514,0.7110574914982217
-106.651962,17.072615,1.642569,0.0008554664914652821,0.00011246276793619708,0.7031330039984824,0.7110578276183155
-106.650894,17.073235,1.664577,0.0004687657754750631,6.227068247387636e-05,0.7031326302015333,0.7110585635001407
-106.650223,17.073645,1.676219,0.0002173171280442446,3.32457582532795e-05,0.7031326750931368,0.7110586423666858
-106.649872,17.073847,1.680803,9.108117085497149e-05,1.7730308631492956e-05,0.7031326321075677,0.7110587128046041
-106.649727,17.073933,1.681898,3.5318400168299074e-05,9.360570871670692e-06,0.7031326322503525,0.7110587177791162
-106.649666,17.073963,1.68173,1.267183013906529e-05,4.98283719678261e-06,0.7031326322925997,0.711058718545716
-106.649666,17.073963,1.68173,1.267183013906529e-05,4.98283719678261e-06,0.7031326322925997,0.711058718545716
-106.649643,17.073975,1.681202,2.837743064507611e-06,2.0574733007578805e-06,0.703132632307018,0.711058718653191
-106.649643,17.073977,1.681008,1.1355438971277475e-06,1.1228861253497749e-06,0.7031326323091293,0.7110587186579491
-106.649643,17.073978,1.680883,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680823,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680816,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680812,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680809,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680808,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680808,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680808,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680808,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680808,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649643,17.073978,1.680808,1.9657915240126267e-07,9.430256899289286e-07,0.7031326323093958,0.7110587186588264
-106.649017,17.096893,1.680166,0.0006312229090574219,-0.0005344719085853813,0.7029580052512958,0.7112308758416896
-106.645966,17.200228,1.679007,0.0017316501591131423,-0.001523627268129919,0.7023698008610649,0.7118085014848181
-106.640778,17.383112,1.678392,0.002259257979899506,-0.0020896118016942287,0.701658686490677,0.7125065732665743
-106.626656,17.637276,1.67826,0.003156544368131758,-0.0014369119881548604,0.6976208606020675,0.7164587262113714
-106.603584,17.9559,1.678337,0.0024030537549617533,-0.0020416837702805133,0.6947365528683092,0.7192573801975841
-106.58812,18.334631,1.678482,0.001649908548101704,-0.0025159132118554865,0.6952005717568926,0.7188095109355348
-106.571548,18.767738,1.678658,0.0019831925727273746,-0.001890602936532471,0.6939778555183328,0.7199911309300494
-106.549248,19.250584,1.678824,0.0018307184311242277,-0.0017465958175415532,0.6926899642111681,0.7212310388178028
-106.525864,19.779427,1.679275,0.0015585862230456792,-0.001722963271173701,0.692307284424587,0.7215990757610528
-106.500221,20.350128,1.679433,0.001577206798229685,-0.001442228825407274,0.6915286269735825,0.722345893925315
-106.471397,20.953154,1.679679,0.0012893994316946103,-0.00118931610958074,0.6907704911015043,0.7230719546488328
-106.442101,21.562557,1.680367,0.0005914781395946321,-0.0005650382496762203,0.6903715248677608,0.7234545518117566
-106.413589,22.143372,1.681219,-0.00013925310256133544,0.00029436685148901423,0.6898761617022238,0.723927327479587
-106.385284,22.702177,1.681496,-0.0004139957879754274,0.0005438662026086873,0.6894539313903367,0.7243292133467004
-106.348351,23.245569,1.681529,0.0008082981882529882,0.0017707916400125146,0.6844927256580716,0.7290170913443595
-106.293663,23.778088,1.681387,0.000595256622261406,0.001300974947043757,0.6783307608266791,0.7347552871875368
-106.241776,24.309906,1.681196,-0.00017431133700227636,0.0002431185210180109,0.6767880831274549,0.7361778324872379
-106.189537,24.840868,1.681091,0.0004017629778039157,0.000584239966819554,0.6739274780052927,0.738797165424717
-106.130165,25.37059,1.681033,0.0003667035725263939,0.0004465697947787466,0.6707678827838286,0.7416671177351791
-106.070038,25.899885,1.681005,0.0001064077239446786,0.00015923874234154907,0.6690773945707484,0.7431927094602303
-106.008232,26.431644,1.680881,0.0003487698541182023,0.00016144228082968593,0.6671438489467513,0.7449288134503144
-105.940887,26.983227,1.680513,0.0006319173080934961,-0.00021964364184135613,0.6652244903103451,0.7466431074673683
-105.869453,27.558395,1.680288,0.0007323119378783832,-0.0005173261821076758,0.663832305191534,0.7478809174440414
-105.786453,28.141623,1.68053,0.001873200952413383,0.0009059378564926662,0.6576001763238266,0.753364240254118
-105.681541,28.713814,1.680871,0.0015861042521423034,0.0012116790716097004,0.648694433252159,0.7610463510028735
-105.575409,29.276884,1.681123,0.00021011110554315407,0.00044388254320110686,0.645024587135032,0.7641616588215434
-105.471031,29.827148,1.681298,0.000378644029417921,0.0008755087151999985,0.6412167546172839,0.7673592142610046
-105.359657,30.365326,1.68132,0.0004249740886575154,0.0009443891673041409,0.6365520752551809,0.7712330276994412
